Category,Value,Count
Gender,Female,10706
Gender,Male,10611
Gender,Trans,71
Gender,I would describe my gender in some other way,0
Smoking,Yes,1393
Smoking,No,16632
E-cigarettes,Affirmative responses,2205
E-cigarettes,Negative responses,12408
Alcohol consumption frequency,I drink alcohol once a week,276
Alcohol consumption frequency,I drink only at certain times with my family,4276
Alcohol consumption frequency,"I sometimes drink, but less than once a month",737
Alcohol consumption frequency,I have tried alcohol once or twice without my family knowing,0
