Category,Value,Count
Preocupados por conseguir trabajo,Salud mental,1018
Preocupados por viajar a la escuela,Salud mental,893
Preocupados por apuestas,Salud mental,109
Preocupados por problemas de dinero,Salud mental,1376
Preocupados por sus relaciones de pareja,Salud mental,1491
Preocupados por problemas familiares,Salud mental,4187
Preocupados por su discapacidad,Salud mental,693
Preocupados por su apariencia,Salud mental,6631
"Preocupados por problemas de drogas, tabaco o alcohol",Salud mental,779
"Preocupados por relaciones sexuales, embarazo o enfermedades",Salud mental,398
Preocupados por problemas de salud en la familia,Salud mental,2776
Preocupados por poco dinero para acomer,Salud mental,401
Preocupados por una separacion,Salud mental,1565
