Category,Value,Count
Alcohol consumption frequency,"I sometimes drink, but less than once a week",459
Alcohol consumption frequency,I have never had a drink of alcohol,11168
Alcohol consumption frequency,I drink alcohol 2 to 3 times a week,160
Alcohol consumption frequency,I drink alcohol every day,172
Alcohol consumption classification,Occasional drinkers,1196
Alcohol consumption classification,Moderate drinkers,4436
Alcohol consumption classification,High consumption,448
Alcohol consumption classification,Abstainers,11168
Sleep quality,10 hours,3321
Sleep quality,11 hours,1703
Sleep quality,12 hours,657
Sleep quality,5 hours,558
